,symbol,message,datetime,user,message_id,Date,Time,label
0,AAPL,peak profit last 6 expired option alerts aapl 252 00 26 94 140 00 51 11 361 38 460 87,2020-07-19 09:49:35,1442893,229008387,2020-07-19,09:49:35,1
1,AAPL,aapl jul 17 382 50 calls option volume 144 44 volume 5 346 vs 2 187,2020-07-19 09:47:26,1442893,229008357,2020-07-19,09:47:26,1
2,AAPL,tsla market true bubble territory profitable company like amzn aapl msft trading current tsla multiple,2020-07-19 09:01:25,1115913,229007569,2020-07-19,09:01:25,1
3,AAPL,aapl analyzed 26 analysts buy consensus 86 analysts seem confident aapl,2020-07-19 08:13:00,47688,229006733,2020-07-19,08:13:00,1
4,AAPL,aapl new article dogs dow august 4 adopt ignore,2020-07-19 07:54:05,1555408,229006403,2020-07-19,07:54:05,1
5,AAPL,stocks rebound sharply aapl msft tsla spy,2020-07-19 07:52:28,296805,229006376,2020-07-19,07:52:28,1
6,AAPL,ndx qq aapl nq f next crash lead nasdaq amp apple watch video catalyst crash nasdaq 100 get hit wrecking ball,2020-07-19 07:38:53,23557,229006126,2020-07-19,07:38:53,1
7,AAPL,msft amzn goog aapl lot people 39 realize stocks 39 actually stocks traditional sense equities quot risk quot anymore 39 world fed 39 mandates prevent much anything print ton money stock market everyone 39 401k wealth saving economy actually means saving stock market 39 tough pill many swallow jobless claims rising measure stocks quot quot going 39 39 fed essentially turned variable rate treasuries pretty soon 39 outright support stock prices directly buying equities soon 39 witness meltup lifetime poorest 90 country get absolutely devastated richest 10 get much richer 39 bonkers 39 planning get fair share trillions getting printed quot trade market 39 front one think quot,2020-07-19 07:32:10,1340663,229005999,2020-07-19,07:32:10,1
8,AAPL,face tears joy rolling floor laughing grinning face sweat aapl tsla amzn spy fb,2020-07-19 07:30:05,2859254,229005960,2020-07-19,07:30:05,1
9,AAPL,aapl area 358 373 reached end cycle 7 13 high 3 waves turns higher elliottwave trading,2020-07-19 07:29:23,128933,229005946,2020-07-19,07:29:23,1
10,AAPL,updated correlation matrix consolidated edison ed apple aapl stocks earnings,2020-07-19 06:52:02,56948,229005041,2020-07-19,06:52:02,1
11,AAPL,spy amzn aapl zm amd watch trump pucker hole china controls supplies capital market 50 seconds fox news cuts save yells brett exposing truth face tears joy face tears joy face tears joy face tears joy pile poo fire fire fire fire man facepalming selector national emergency trump lying show weakness fooling supporters war,2020-07-19 05:36:08,2909088,229002859,2020-07-19,05:36:08,1
12,AAPL,aapl may odds ever favor,2020-07-19 05:28:40,1464151,229002563,2020-07-19,05:28:40,1
13,AAPL,updated correlation matrix apple aapl tenet insidertrading stocks fintechnews,2020-07-19 05:26:42,56948,229002496,2020-07-19,05:26:42,1
